ID	ERS	Country	year	GenomesNormalisedSet.txt	All.all.lars.txt	All.genomes.1kb.fofn	All.genomes.3kb.fofn	All.genomes.3.5kb.fofn
PF0245-C	ERS032002	Ghana	2010	0	58	148	60	55
PF0246-C	ERS022968	Ghana	2010	0	51	156	59	57
PF0248-C	ERS022757	Ghana	2010	0	73	446	25	22
PF0249-C	ERS022758	Ghana	2010	0	176	716	173	146
PF0250-C	ERS164653	Ghana	2010	0	97	602	66	58
PF0252-C	ERS022759	Ghana	2010	0	154	802	84	70
PF0253-C	ERS164635	Ghana	2010	0	55	509	15	9
PF0254-C	ERS022760	Ghana	2010	0	77	559	18	8
PF0255-C	ERS022761	Ghana	2010	0	69	148	69	67
PF0256-C	ERS022969	Ghana	2010	0	130	338	121	110
PF0258-C	ERS022762	Ghana	2010	0	169	741	141	113
PF0259-C	ERS022970	Ghana	2010	0	64	146	64	62
PF0260-C	ERS022763	Ghana	2010	0	99	661	28	12
PF0261-C	ERS032179	Ghana	2010	0	47	188	35	31
PF0262-C	ERS022971	Ghana	2010	0	118	294	125	111
PF0263-C	ERS022764	Ghana	2010	1	59	153	61	58
PF0264-C	ERS017396	Ghana	2010	0	125	305	123	114
PF0265-C	ERS164675	Ghana	2010	0	181	1269	111	97
PF0266-C	ERS384346	Ghana	2010	0	51	233	41	37
PF0267-C	ERS022765	Ghana	2010	0	58	144	62	57
PF0268-C	ERS164663	Ghana	2010	0	56	236	53	44
PF0269-C	ERS022766	Ghana	2010	0	80	557	17	7
PF0270-C	ERS022972	Ghana	2010	0	117	231	121	117
PF0272-C	ERS017397	Ghana	2010	0	71	192	75	68
PF0274-C	ERS017398	Ghana	2010	0	119	241	127	123
PF0275-C	ERS164648	Ghana	2010	0	65	511	21	17
PF0276-C	ERS022973	Ghana	2010	0	64	158	64	62
PF0277-C	ERS032169	Ghana	2010	0	34	200	9	6
PF0278-C	ERS032208	Ghana	2010	0	45	247	25	22
PF0279-C	ERS022974	Ghana	2010	0	60	161	59	55
PF0280-C	ERS017399	Ghana	2010	0	299	1053	280	237
PF0281-C	ERS022767	Ghana	2010	0	149	426	138	122
PF0282-C	ERS022768	Ghana	2010	1	66	150	68	64
PF0285-C	ERS022975	Ghana	2010	0	58	155	66	63
PF0286-C	ERS022976	Ghana	2010	0	55	133	63	59
PF0287-C	ERS022770	Ghana	2010	0	65	213	61	56
PF0288-C	ERS022771	Ghana	2010	1	54	132	58	56
PF0289-C	ERS022772	Ghana	2010	0	101	424	97	87
PF0290-C	ERS022773	Ghana	2010	0	53	131	58	57
PF0294-C	ERS164638	Ghana	2010	0	164	879	139	122
PF0298-C	ERS017400	Ghana	2010	1	61	137	62	60
PF0299-C	ERS022977	Ghana	2010	0	61	149	63	63
PF0301-C	ERS022978	Ghana	2010	0	57	144	61	58
PF0304-C	ERS022979	Ghana	2010	0	51	136	57	47
PF0305-C	ERS022980	Ghana	2010	0	183	666	150	135
PF0306-C	ERS157510	Ghana	2010	0	79	726	43	29
PF0308-C	ERS022981	Ghana	2010	0	121	300	121	110
PF0309-C	ERS022982	Ghana	2010	0	60	147	63	63
PF0310-C	ERS022983	Ghana	2010	0	56	227	51	39
PF0311-C	ERS022984	Ghana	2010	1	86	218	85	76
PF0312-C	ERS032217	Ghana	2010	0	130	378	123	106
PF0314-C	ERS164641	Ghana	2010	1	55	175	59	56
PF0318-C	ERS022985	Ghana	2010	0	102	221	105	100
PF0321-C	ERS017401	Ghana	2010	0	124	230	133	124
PF0323-C	ERS164650	Ghana	2010	0	59	206	57	48
PF0325-C	ERS022986	Ghana	2010	0	84	355	67	59
PF0327-C	ERS017403	Ghana	2010	0	212	877	129	99
PF0328-C	ERS164660	Ghana	2010	0	59	231	63	61
PF0329-C	ERS164680	Ghana	2010	0	66	492	30	23
PF0330-C	ERS022774	Ghana	2010	1	61	282	57	50
PF0331-C	ERS032187	Ghana	2010	0	59	266	47	38
PF0332-C	ERS032201	Ghana	2010	0	63	160	58	55
PF0334-C	ERS032227	Ghana	2010	0	58	140	64	62
PF0335-CW	ERS032667	Ghana	2010	0	73	598	69	57
PF0336-CW	ERS032668	Ghana	2010	0	50	419	43	31
PF0337-C	ERS032054	Ghana	2011	0	63	166	64	60
PF0339-C	ERS032238	Ghana	2010	0	60	185	57	52
PF0341-C	ERS032177	Ghana	2010	0	60	143	58	56
PF0342-C	ERS032216	Ghana	2010	0	12	108	0	0
PF0344-C	ERS032192	Ghana	2010	0	60	161	53	50
PF0345-C	ERS157479	Ghana	2010	0	68	215	69	68
PF0346-C	ERS032030	Ghana	2010	0	72	253	63	58
PF0347-C	ERS032053	Ghana	2010	0	65	147	72	66
PF0349-C	ERS031997	Ghana	2010	0	15	138	3	1
PF0350-C	ERS032230	Ghana	2010	0	130	431	116	96
PF0353-C	ERS032180	Ghana	2010	0	79	283	58	54
PF0354-C	ERS032182	Ghana	2010	0	70	228	66	61
PF0355-C	ERS032176	Ghana	2010	0	98	305	83	72
PF0356-C	ERS032231	Ghana	2010	0	52	342	21	16
PF0357-C	ERS032185	Ghana	2010	0	98	304	86	74
PF0359-C	ERS032033	Ghana	2011	1	62	153	61	55
PF0361-C	ERS157465	Ghana	2010	0	163	1457	67	60
PF0364-C	ERS032234	Ghana	2010	0	59	263	26	20
PF0365-C	ERS032223	Ghana	2010	1	84	434	35	30
PF0366-C	ERS032218	Ghana	2010	0	54	154	62	57
PF0367-C	ERS032191	Ghana	2010	0	105	493	69	61
PF0368-C	ERS032213	Ghana	2010	1	66	211	68	62
PF0369-C	ERS032229	Ghana	2010	0	58	158	68	61
PF0370-C	ERS032222	Ghana	2010	0	53	165	54	48
PF0372-C	ERS032034	Ghana	2010	0	62	148	70	66
PF0373-C	ERS032011	Ghana	2011	0	142	430	122	107
PF0374-C	ERS157508	Ghana	2010	0	70	726	13	11
PF0375-C	ERS157486	Ghana	2010	0	258	997	247	221
PF0376-C	ERS032038	Ghana	2010	0	14	149	2	2
PF0377-C	ERS032186	Ghana	2010	0	18	147	4	3
PF0378-C	ERS157480	Ghana	2010	0	114	650	75	65
PF0380-C	ERS032051	Ghana	2009	0	216	614	203	172
PF0381-C	ERS157488	Ghana	2009	0	143	468	141	121
PF0383-C	ERS032178	Ghana	2011	0	96	357	65	55
PF0385-C	ERS157503	Ghana	2011	0	199	1136	144	130
PF0388-C	ERS032001	Ghana	2011	0	149	920	48	36
PF0389-C	ERS032032	Ghana	2011	0	166	628	126	106
PF0390-C	ERS157474	Ghana	2011	0	200	916	150	129
PF0392-C	ERS157496	Ghana	2011	0	63	347	45	36
PF0393-CW	ERS032669	Ghana	2011	1	57	187	53	46
PF0395-C	ERS157470	Ghana	2011	0	129	555	116	105
PF0396-C	ERS032028	Ghana	2011	0	135	550	86	74
PF0397-C	ERS157501	Ghana	2011	0	66	230	79	75
PF0398-C	ERS032183	Ghana	2011	0	116	346	97	86
PF0399-C	ERS032190	Ghana	2011	1	49	164	47	44
PF0400-C	ERS032184	Ghana	2011	1	67	154	63	63
PF0401-C	ERS031998	Ghana	2011	0	62	151	76	72
PF0404-C	ERS032188	Ghana	2011	0	62	215	58	56
PF0405-C	ERS032200	Ghana	2011	0	28	201	5	5
PF0406-C	ERS032204	Ghana	2011	0	53	153	51	45
PF0407-C	ERS032174	Ghana	2011	0	59	149	56	54
PF0408-C	ERS157506	Ghana	2011	0	81	360	86	81
PF0409-C	ERS032212	Ghana	2011	0	58	156	61	60
PF0410-CW	ERS032670	Ghana	2011	0	65	158	64	57
PF0411-C	ERS032170	Ghana	2011	0	64	175	71	67
PF0412-C	ERS032215	Ghana	2011	0	52	174	46	44
PF0413-C	ERS032044	Ghana	2011	0	53	147	56	53
PF0414-C	ERS032048	Ghana	2011	0	43	261	18	11
PF0415-C	ERS157491	Ghana	2011	0	112	352	112	105
PF0417-C	ERS032220	Ghana	2011	1	61	189	65	60
PF0418-C	ERS032233	Ghana	2011	0	135	451	101	92
PF0419-C	ERS032210	Ghana	2011	0	51	231	29	18
PF0421-C	ERS032007	Ghana	2011	0	118	388	91	82
PF0422-C	ERS157487	Ghana	2011	0	63	199	66	66
PF0423-C	ERS032047	Ghana	2011	0	67	146	73	69
PF0424-C	ERS157492	Ghana	2011	1	70	279	61	59
PF0425-C	ERS032173	Ghana	2011	0	56	148	56	52
PF0427-C	ERS032172	Ghana	2011	0	67	167	67	64
PF0428-CW	ERS032671	Ghana	2011	0	142	482	143	120
PF0430-C	ERS032199	Ghana	2011	0	117	372	96	76
PF0431-C	ERS032196	Ghana	2011	0	61	176	63	55
PF0432-C	ERS032012	Ghana	2011	0	96	277	84	76
PF0433-C	ERS032181	Ghana	2011	0	95	370	58	48
PF0434-C	ERS032205	Ghana	2011	0	62	145	58	58
PF0437-C	ERS032046	Ghana	2011	0	60	158	58	54
PF0438-CW	ERS032672	Ghana	2011	0	68	409	66	51
PF0439-C	ERS032189	Ghana	2011	0	52	149	59	57
PF0440-C	ERS032195	Ghana	2011	0	130	378	111	94
PF0441-CW	ERS032673	Ghana	2011	0	61	163	62	57
PF0442-C	ERS032219	Ghana	2011	0	86	330	72	65
PF0443-C	ERS032221	Ghana	2011	0	81	257	64	58
PF0444-CW	ERS032674	Ghana	2011	0	81	407	80	73
PF0445-C	ERS032202	Ghana	2011	0	86	250	86	76
PF0446-CW	ERS032675	Ghana	2011	0	58	193	51	47
PF0447-C	ERS032067	Ghana	2011	0	109	288	106	93
PF0448-C	ERS032171	Ghana	2011	0	102	464	81	64
PF0449-C	ERS157502	Ghana	2011	1	69	191	77	75
PF0450-C	ERS157477	Ghana	2011	0	58	212	64	57
PF0452-C	ERS032035	Ghana	2011	0	53	130	54	51
PF0453-C	ERS053901	Ghana	2011	0	83	257	89	87
PF0454-C	ERS053921	Ghana	2011	0	44	156	45	40
PF0456-C	ERS053925	Ghana	2011	1	52	173	56	51
PF0458-C	ERS053932	Ghana	2011	0	281	1593	201	163
PF0461-C	ERS053926	Ghana	2011	0	173	442	194	184
PF0463-C	ERS053918	Ghana	2011	0	105	372	93	85
PF0464-C	ERS053924	Ghana	2011	0	111	321	113	109
PF0465-C	ERS053874	Ghana	2011	0	139	511	140	124
PF0467-C	ERS053898	Ghana	2011	1	61	238	63	56
PF0469-C	ERS053883	Ghana	2011	0	112	323	124	113
PF0471-C	ERS053896	Ghana	2011	0	136	557	130	119
PF0472-C	ERS053922	Ghana	2011	0	63	196	66	65
PF0473-C	ERS053916	Ghana	2011	0	63	189	69	64
PF0476-C	ERS053913	Ghana	2011	0	202	555	224	208
PF0477-C	ERS053914	Ghana	2011	0	126	342	129	122
PF0478-C	ERS053881	Ghana	2011	0	287	1615	189	152
PF0479-C	ERS053915	Ghana	2011	0	109	338	110	100
PF0480-C	ERS053930	Ghana	2011	0	145	635	130	116
PF0484-C	ERS053933	Ghana	2011	0	125	462	134	123
PF0485-C	ERS053934	Ghana	2011	0	91	685	36	22
PF0486-C	ERS053893	Ghana	2011	0	77	254	72	70
PF0487-C	ERS053884	Ghana	2011	0	183	624	175	159
PF0488-C	ERS053928	Ghana	2011	0	107	310	112	108
PF0489-C	ERS053885	Ghana	2011	1	59	176	71	68
PF0491-C	ERS053907	Ghana	2011	0	66	209	69	67
PF0492-C	ERS053908	Ghana	2011	0	50	178	59	55
PF0493-C	ERS053894	Ghana	2011	0	65	209	70	66
PF0494-C	ERS053905	Ghana	2011	0	108	451	95	84
PF0499-C	ERS053927	Ghana	2011	0	118	452	111	99
PF0502-C	ERS053872	Ghana	2011	0	80	237	85	79
PF0504-C	ERS053923	Ghana	2011	0	112	331	123	113
PF0507-C	ERS053906	Ghana	2011	1	60	188	60	59
PF0510-C	ERS053873	Ghana	2011	0	114	369	125	119
PF0511-C	ERS053910	Ghana	2011	0	125	342	136	130
PF0512-C	ERS053920	Ghana	2011	0	51	178	55	53
PF0513-C	ERS157485	Ghana	2011	1	70	217	77	75
PF0514-C	ERS053929	Ghana	2011	0	111	389	113	108
PF0515-C	ERS053889	Ghana	2011	0	70	210	67	66
PF0518-C	ERS053879	Ghana	2011	0	114	320	111	105
PF0519-C	ERS157460	Ghana	2011	0	60	228	69	61
PF0522-C	ERS053917	Ghana	2011	0	101	338	109	103
PF0524-C	ERS053931	Ghana	2011	1	74	375	66	65
PF0525-C	ERS053935	Ghana	2011	0	62	190	61	59
PF0529-C	ERS053882	Ghana	2011	0	177	494	190	181
PF0531-C	ERS053919	Ghana	2011	0	63	209	71	68
PF0539-C	ERS053892	Ghana	2011	0	171	1039	88	80
PF0542-C	ERS055902	Ghana	2011	0	52	168	57	55
PF0554-C	ERS193640	Ghana	2011	0	16	87	19	16
PF0554-Cx	ERS193640	Ghana	2011	0	60	243	29	27
PF0556-C	ERS193645	Ghana	2011	0	52	182	58	52
PF0557-C	ERS193650	Ghana	2011	0	141	559	139	124
PF0559-C	ERS193655	Ghana	2011	0	56	204	58	53
PF0560-C	ERS193660	Ghana	2011	0	40	122	40	40
PF0560-Cx	ERS193660	Ghana	2011	0	58	240	41	37
PF0562-C	ERS193665	Ghana	2011	0	103	646	69	62
PF0578-C	ERS188107	Ghana	2012	0	60	226	70	66
PF0583-C	ERS188114	Ghana	2012	0	112	316	123	114
PF0584-C	ERS193680	Ghana	2012	0	52	181	59	57
PF0587-C	ERS224913	Ghana	2012	0	122	403	138	129
PF0590-C	ERS193670	Ghana	2012	1	66	234	68	66
PF0596-C	ERS246737	Ghana	2012	0	66	212	69	67
PF0603-C	ERS246744	Ghana	2012	0	124	1067	42	37
PF0608-C	ERS246749	Ghana	2012	0	16	105	16	14
PF0609-C	ERS246750	Ghana	2012	1	85	387	65	61
PF0610-C	ERS246751	Ghana	2012	0	13	54	11	10
PF0613-C	ERS246754	Ghana	2012	0	121	570	128	116
PF0614-C	ERS246755	Ghana	2012	0	17	58	12	12
PF0617-C	ERS246758	Ghana	2012	1	63	214	58	57
PF0619-C	ERS246760	Ghana	2012	0	233	1055	189	171
PF0620-C	ERS246761	Ghana	2012	0	148	497	153	138
PF0621-C	ERS246762	Ghana	2012	0	111	358	121	115
PF0624-C	ERS246765	Ghana	2012	0	88	825	29	23
PF0625-C	ERS246766	Ghana	2012	0	66	237	67	63
PF0627-C	ERS246768	Ghana	2012	0	157	465	151	142
PF0628-C	ERS246769	Ghana	2012	0	35	194	21	18
PF0629-C	ERS246770	Ghana	2012	0	114	736	83	74
PF0630-C	ERS246771	Ghana	2012	0	12	374	0	0
PF0632-C	ERS246773	Ghana	2012	0	15	106	10	10
PF0634-C	ERS246775	Ghana	2012	0	94	267	95	93
PF0638-C	ERS246779	Ghana	2012	1	64	230	64	56
PF0641-C	ERS246782	Ghana	2012	0	127	329	133	130
PF0643-C	ERS246784	Ghana	2012	0	82	291	89	83
PF0647-C	ERS246788	Ghana	2012	0	136	530	114	111
PF0650-C	ERS246791	Ghana	2012	0	72	217	74	73
PF0651-C	ERS246792	Ghana	2012	0	117	1112	43	34
PF0653-C	ERS246794	Ghana	2012	0	83	261	81	77
PF0655-C	ERS246796	Ghana	2012	0	12	80	11	8
PF0663-C	ERS246804	Ghana	2013	0	41	238	35	31
PF0664-C	ERS246805	Ghana	2013	0	58	474	18	10
PF0666-C	ERS246807	Ghana	2013	0	14	60	7	7
PF0667-C	ERS311725	Ghana	2012	0	99	915	38	34
PF0668-C	ERS311726	Ghana	2012	0	31	135	33	31
PF0669-C	ERS311727	Ghana	2012	0	118	352	120	104
PF0670-C	ERS311728	Ghana	2012	0	12	76	13	13
PF0671-C	ERS311729	Ghana	2012	0	334	1532	280	241
PF0672-C	ERS311730	Ghana	2012	0	106	329	108	100
PF0673-C	ERS311731	Ghana	2012	0	184	1697	51	36
PF0674-C	ERS311732	Ghana	2012	0	55	301	44	41
PF0675-C	ERS311733	Ghana	2012	0	285	1276	263	226
PF0676-C	ERS311734	Ghana	2012	0	56	236	60	56
PF0679-C	ERS311737	Ghana	2012	0	81	290	88	80
PF0680-C	ERS311738	Ghana	2012	0	47	248	53	43
PF0681-C	ERS311739	Ghana	2012	0	29	158	21	15
PF0682-C	ERS311740	Ghana	2012	0	137	552	127	123
PF0683-C	ERS311741	Ghana	2012	0	326	1099	311	282
PF0684-C	ERS311742	Ghana	2012	0	309	1078	317	280
PF0685-C	ERS311743	Ghana	2012	0	64	251	65	61
PF0687-C	ERS311745	Ghana	2012	0	15	95	18	16
PF0689-C	ERS311747	Ghana	2012	0	54	214	60	56
PF0690-C	ERS311748	Ghana	2012	0	91	353	97	92
PF0691-C	ERS311749	Ghana	2012	0	15	54	13	10
PF0692-C	ERS311750	Ghana	2012	1	59	181	67	65
PF0693-C	ERS311751	Ghana	2012	0	144	867	103	92
PF0694-C	ERS311752	Ghana	2012	0	85	418	73	66
PF0695-C	ERS311753	Ghana	2012	0	178	727	153	141
PF0696-C	ERS311754	Ghana	2012	0	53	208	47	43
PF0697-C	ERS311755	Ghana	2012	0	62	236	64	61
PF0698-C	ERS311756	Ghana	2012	0	71	294	71	61
PF0699-C	ERS311757	Ghana	2012	0	238	1069	229	200
PF0700-C	ERS311758	Ghana	2012	0	197	668	195	183
PF0701-C	ERS311759	Ghana	2012	0	107	591	94	86
PF0703-C	ERS311761	Ghana	2012	0	29	122	32	30
PF0706-C	ERS311764	Ghana	2012	0	18	110	9	9
PF0707-C	ERS311765	Ghana	2012	0	58	242	63	61
PF0708-C	ERS311766	Ghana	2012	0	110	394	113	101
PF0711-C	ERS311769	Ghana	2012	0	144	533	130	116
PF0712-C	ERS311770	Ghana	2012	0	18	118	17	14
PF0715-C	ERS311773	Ghana	2012	0	12	56	12	12
PF0718-C	ERS311776	Ghana	2012	0	85	279	88	84
PF0720-C	ERS311778	Ghana	2012	0	332	1605	278	230
PF0722-C	ERS311780	Ghana	2012	0	66	238	70	66
PF0723-C	ERS311781	Ghana	2012	0	143	756	119	102
PF0725-C	ERS360482	Ghana	2013	1	51	158	56	52
PF0727-C	ERS360498	Ghana	2013	0	90	294	96	91
PF0728-C	ERS360506	Ghana	2013	0	61	211	66	66
PF0729-C	ERS360514	Ghana	2013	0	67	220	75	72
PF0730-C	ERS360522	Ghana	2013	1	61	210	71	69
PF0731-C	ERS360530	Ghana	2013	0	168	474	192	185
PF0732-C	ERS360538	Ghana	2013	0	149	686	121	110
PF0733-C	ERS360546	Ghana	2013	0	67	253	72	70
PF0734-C	ERS360554	Ghana	2013	0	179	563	181	165
PF0735-C	ERS360562	Ghana	2013	0	216	834	198	179
PF0736-C	ERS360570	Ghana	2013	0	267	1604	157	120
PF0737-C	ERS360483	Ghana	2013	1	56	216	66	62
PF0738-C	ERS360491	Ghana	2013	0	63	199	64	58
PF0739-C	ERS360499	Ghana	2013	0	175	800	158	140
PF0740-C	ERS360507	Ghana	2013	0	138	452	151	138
PF0741-C	ERS360515	Ghana	2013	0	115	410	112	108
PF0742-C	ERS360523	Ghana	2013	0	68	221	72	68
PF0743-C	ERS360531	Ghana	2013	0	46	526	8	7
PF0747-C	ERS360563	Ghana	2013	0	64	193	66	66
PF0748-C	ERS360571	Ghana	2013	0	67	217	75	75
PF0749-C	ERS360484	Ghana	2013	0	102	324	109	101
PF0750-C	ERS360492	Ghana	2013	0	97	316	104	101
PF0751-C	ERS360500	Ghana	2013	0	109	520	103	96
PF0752-C	ERS360508	Ghana	2013	0	93	388	91	82
PF0753-C	ERS360516	Ghana	2013	0	96	533	85	72
PF0754-C	ERS360524	Ghana	2013	1	61	191	58	57
PF0755-C	ERS360532	Ghana	2013	0	103	568	88	81
PF0756-C	ERS360540	Ghana	2013	0	76	249	74	72
PF0757-C	ERS360548	Ghana	2013	0	107	360	116	106
PF0758-C	ERS360556	Ghana	2013	0	101	325	117	112
PF0759-C	ERS360564	Ghana	2013	0	70	246	74	72
PF0760-C	ERS360572	Ghana	2013	0	88	395	88	81
PF0761-C	ERS360485	Ghana	2013	0	66	224	71	65
PF0762-C	ERS360493	Ghana	2013	0	189	819	164	130
PF0763-C	ERS360501	Ghana	2013	0	64	247	69	68
PF0764-C	ERS360509	Ghana	2013	0	117	635	79	75
PF0765-C	ERS360517	Ghana	2013	0	100	284	102	100
PF0766-C	ERS360525	Ghana	2013	0	105	472	94	85
PF0767-C	ERS360533	Ghana	2013	0	25	108	26	24
PF0768-C	ERS360541	Ghana	2013	0	75	238	75	74
PF0771-C	ERS360565	Ghana	2013	0	69	261	82	77
PF0772-C	ERS360573	Ghana	2013	0	53	253	48	41
PF0773-C	ERS360486	Ghana	2013	0	54	204	63	62
PF0775-C	ERS360502	Ghana	2013	0	183	950	126	104
PF0777-C	ERS360518	Ghana	2013	0	41	170	41	37
PF0778-C	ERS360526	Ghana	2013	0	19	109	20	17
PF0780-C	ERS360542	Ghana	2013	0	58	208	68	68
PF0781-C	ERS360550	Ghana	2013	0	94	310	102	100
PF0782-C	ERS360558	Ghana	2013	1	68	195	69	67
PF0783-C	ERS360566	Ghana	2013	0	68	231	72	67
PF0784-C	ERS360574	Ghana	2013	1	64	367	49	38
PF0785-C	ERS360487	Ghana	2013	0	54	179	55	54
PF0787-C	ERS360503	Ghana	2013	0	91	361	94	84
PF0789-C	ERS360519	Ghana	2013	1	62	197	63	60
PF0790-C	ERS360527	Ghana	2013	0	113	342	129	124
PF0791-C	ERS360535	Ghana	2013	0	118	344	124	115
PF0792-C	ERS360543	Ghana	2013	1	60	483	34	21
PF0793-C	ERS360551	Ghana	2013	0	155	643	159	139
PF0796-C	ERS360575	Ghana	2013	0	216	1028	183	157
PF0798-C	ERS360496	Ghana	2013	0	74	306	83	75
PF0799-C	ERS360504	Ghana	2013	0	125	338	131	125
PF0800-C	ERS360512	Ghana	2013	0	238	670	249	230
PF0801-C	ERS360520	Ghana	2013	0	120	468	113	105
PF0802-C	ERS360528	Ghana	2013	0	66	227	71	68
PF0803-C	ERS360536	Ghana	2013	0	50	213	57	53
PF0804-C	ERS360544	Ghana	2013	0	145	891	102	80
PF0805-C	ERS360552	Ghana	2013	0	141	624	105	92
PF0806-C	ERS360560	Ghana	2013	0	144	476	155	143
PF0807-C	ERS360568	Ghana	2013	0	99	338	96	88
PF0808-C	ERS360576	Ghana	2013	0	118	1095	24	17
PF0809-C	ERS360489	Ghana	2013	0	63	204	64	62
PF0811-C	ERS360505	Ghana	2013	0	62	216	69	65
PF0812-C	ERS384342	Ghana	2013	0	11	230	0	0
PF0814-C	ERS360529	Ghana	2013	0	112	684	78	67
PF0815-C	ERS360537	Ghana	2013	0	93	320	115	111
PF0816-C	ERS360545	Ghana	2013	1	69	242	73	66
PF0817-C	ERS360553	Ghana	2013	0	63	215	70	69
PF0818-C	ERS360561	Ghana	2013	1	72	223	78	76
PF0819-C	ERS360569	Ghana	2013	0	390	1763	305	248
PF0820-C	ERS360577	Ghana	2013	0	65	233	69	66
PF0821-C	ERS360578	Ghana	2013	0	102	366	102	92
PF0822-C	ERS360579	Ghana	2013	0	65	198	67	63
PF0823-C	ERS360580	Ghana	2013	0	60	199	63	63
PH0047-Cx	ERS028720	Cambodia	2009	0	59	167	62	55
PH0051-Cx	ERS028721	Cambodia	2009	0	33	112	30	29
PH0052-C	ERS010066	Cambodia	2009	0	61	115	61	56
PH0054-C	ERS010059	Cambodia	2009	0	103	195	102	91
PH0055-C	ERS010064	Cambodia	2009	1	56	147	56	48
PH0056-C	ERS010063	Cambodia	2009	0	73	162	59	52
PH0057-C	ERS010062	Cambodia	2009	0	53	127	55	53
PH0058-C	ERS010058	Cambodia	2009	0	41	89	47	46
PH0059-C	ERS010067	Cambodia	2009	1	55	155	55	51
PH0060-C	ERS010057	Cambodia	2009	0	50	156	44	42
PH0063-C	ERS009720	Cambodia	2009	0	93	266	50	43
PH0064-C	ERS009721	Cambodia	2009	0	33	53	36	32
PH0105-C	ERS010776	Cambodia	NA	0	45	159	38	37
PH0108-CW	ERS024123	Cambodia	NA	0	52	184	54	50
PH0112-C	ERS010778	Cambodia	NA	0	48	100	50	49
PH0114-C	ERS017560	Cambodia	NA	1	54	230	30	22
PH0117-C	ERS017561	Cambodia	NA	1	50	185	36	31
PH0119-C	ERS017562	Cambodia	NA	0	36	277	13	7
PH0120-C	ERS010779	Cambodia	NA	0	31	169	14	12
PH0121-CW	ERS024124	Cambodia	NA	1	47	132	43	41
PH0122-CW	ERS024125	Cambodia	NA	0	16	140	27	22
PH0123-CW	ERS024126	Cambodia	NA	0	59	179	51	49
PH0124-CW	ERS024127	Cambodia	NA	0	25	87	27	22
PH0125-CW	ERS024128	Cambodia	NA	0	26	156	25	22
PH0126-CW	ERS024129	Cambodia	NA	0	55	157	52	47
PH0130-CW	ERS024133	Cambodia	NA	0	22	98	26	22
PH0131-CW	ERS024134	Cambodia	NA	0	55	133	57	54
PH0132-CW	ERS024135	Cambodia	NA	0	45	124	44	41
PH0134-C	ERS010786	Cambodia	NA	0	54	129	55	53
PH0136-C	ERS010788	Cambodia	NA	0	48	122	57	53
PH0138-CW	ERS024137	Cambodia	NA	0	20	124	29	24
PH0140-CW	ERS024139	Cambodia	NA	0	25	130	35	28
PH0141-CW	ERS024140	Cambodia	NA	0	36	154	36	32
PH0142-CW	ERS024141	Cambodia	NA	0	38	138	39	35
PH0143-CW	ERS024142	Cambodia	NA	0	23	141	27	21
PH0144-CW	ERS024143	Cambodia	NA	0	31	107	24	21
PH0145-CW	ERS024144	Cambodia	NA	0	30	127	30	28
PH0146-CW	ERS024145	Cambodia	NA	0	52	150	50	46
PH0147-CW	ERS024146	Cambodia	NA	0	31	142	42	32
PH0148-CW	ERS024147	Cambodia	NA	1	55	153	50	48
PH0149-CW	ERS024148	Cambodia	NA	0	53	152	44	42
PH0150-CW	ERS024149	Cambodia	NA	0	45	154	34	30
PH0151-CW	ERS024150	Cambodia	NA	0	54	186	37	31
PH0153-CW	ERS024152	Cambodia	NA	0	40	194	26	23
PH0155-C	ERS010789	Cambodia	NA	0	48	173	39	34
PH0156-C	ERS010790	Cambodia	NA	0	54	138	58	57
PH0157-C	ERS014165	Cambodia	2010	0	45	119	50	44
PH0161-C	ERS014166	Cambodia	2010	0	57	132	56	51
PH0163-C	ERS014167	Cambodia	2010	0	47	154	51	43
PH0164-C	ERS014168	Cambodia	2010	0	52	144	57	54
PH0165-C	ERS014169	Cambodia	2010	0	56	148	61	56
PH0167-C	ERS014170	Cambodia	2010	0	47	150	46	42
PH0169-C	ERS014171	Cambodia	2010	0	57	145	58	55
PH0171-C	ERS014172	Cambodia	2010	0	62	228	35	28
PH0172-C	ERS014154	Cambodia	2010	0	62	161	62	56
PH0173-C	ERS014173	Cambodia	2010	0	46	106	46	45
PH0191-C	ERS014155	Cambodia	2010	0	48	135	53	49
PH0192-C	ERS014156	Cambodia	2010	0	43	142	42	37
PH0193-C	ERS014157	Cambodia	2010	0	48	134	52	47
PH0194-C	ERS014158	Cambodia	2010	0	54	160	49	48
PH0195-C	ERS014159	Cambodia	2010	0	65	214	50	39
PH0196-C	ERS014160	Cambodia	NA	0	53	186	39	36
PH0197-C	ERS014161	Cambodia	2010	0	44	140	46	42
PH0198-C	ERS014162	Cambodia	2010	0	48	119	50	45
PH0199-C	ERS014163	Cambodia	2010	0	48	143	38	34
PH0200-C	ERS014164	Cambodia	2010	0	58	144	53	49
PH0201-C	ERS017693	Cambodia	2010	0	51	131	55	50
PH0203-C	ERS017695	Cambodia	2010	0	61	176	60	56
PH0204-C	ERS017696	Cambodia	2010	0	58	192	56	48
PH0205-C	ERS017697	Cambodia	2010	0	144	314	150	136
PH0206-C	ERS017705	Cambodia	2010	0	57	144	55	52
PH0207-C	ERS017698	Cambodia	2010	0	51	124	55	50
PH0208-C	ERS017699	Cambodia	2010	0	56	113	60	55
PH0209-C	ERS017706	Cambodia	2010	0	58	116	59	56
PH0210-C	ERS017700	Cambodia	2010	0	45	116	52	46
